mode,fixture,seed,old_quality,new_quality,delta,old_primary_pass,new_primary_pass,old_status_present,new_status_present,old_next_present,new_next_present,old_stale_present,new_stale_present,new_unresolved_rate,new_stale_rate
D,F10,seed00,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
D,F10,seed01,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
D,F10,seed02,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
D,F10,seed03,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
D,F10,seed04,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
D,F10,seed05,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
D,F10,seed06,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
D,F10,seed07,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
D,F10,seed08,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
D,F10,seed09,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
Pfresh,F10,seed00,0.0,0.5,0.5,False,False,False,True,False,True,False,True,0.0,1.0
Pfresh,F10,seed01,0.0,0.0,0.0,False,False,False,True,False,True,False,True,0.0,0.0
Pfresh,F10,seed02,0.0,0.5,0.5,False,False,False,True,False,True,False,True,0.0,1.0
Pfresh,F10,seed03,0.0,0.5,0.5,False,False,False,True,False,True,False,True,0.0,1.0
Pfresh,F10,seed04,0.0,0.0,0.0,False,False,True,True,True,True,True,True,0.0,0.0
Pfresh,F10,seed05,0.0,0.5,0.5,False,False,False,True,False,True,False,True,0.0,1.0
Pfresh,F10,seed06,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
Pfresh,F10,seed07,0.0,0.0,0.0,False,False,True,True,True,True,True,True,0.0,0.0
Pfresh,F10,seed08,0.0,0.5,0.5,False,False,False,True,False,True,False,True,0.0,1.0
Pfresh,F10,seed09,0.0,0.0,0.0,False,False,True,True,True,True,True,True,0.0,0.0
Pacc,F10,seed01_pos2_sess1,0.0,0.1667,0.1667,False,False,False,True,False,True,False,True,0.0,0.3333
Pacc,F10,seed02_pos8_sess2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
Pacc,F10,seed03_pos9_sess3,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
Pacc,F10,seed04_pos1_sess4,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
Pacc,F10,seed05_pos5_sess5,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
Pacc,F10,seed06_pos2_sess6,0.0,0.0,0.0,False,False,False,True,False,True,False,True,0.0,0.0
Pacc,F10,seed07_pos1_sess7,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
Pacc,F10,seed08_pos1_sess8,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
Pacc,F10,seed09_pos2_sess9,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
Pacc,F10,seed10_pos5_sess10,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0
S,F10,seed00,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed01,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed02,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed03,1.0,1.0,0.0,True,True,True,True,True,True,True,True,1.0,1.0
S,F10,seed04,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed05,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed06,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed07,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed08,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
S,F10,seed09,0.0,1.0,1.0,False,True,False,True,False,True,False,True,1.0,1.0
